OrderID,OrderDate,CustomerID,CustomerName,Department,Region,OrderType,ProductCategory,SKU,Priority,Status,ShipMethod,SLADueDate,ShippedDate,Units,UnitCost,UnitPrice,DiscountRate,OrderTotal,AssignedRep
ORD-100007,2025-10-26,CUST-10044,Pioneer Logistics,Marketing,Central,Services,Cleaning,SKU-Z5232,Medium,Delayed,Overnight,2025-11-02,2025-11-05,10,10.97,15.91,0.0,159.1,Sawyer Allen
ORD-100043,2025-10-15,CUST-10171, Canyon Group  ,IT,Central,Hardware,Software,SKU-Z4728,Low,Fulfilled,2-Day,2025-10-29,2025-10-23,1,40.94,53.22,0.0,53.22,Jamie Anderson
ORD-100062,2025-10-21,CUST-10116,Crescent Foundation,IT,Central,Office Supplies,Hardware,SKU-W2139,High,Fulfilled,Ground,2025-10-24,2025-10-27,10,37.42,50.52,0.0,505.2,Avery Thomas
ORD-100078,2025-10-10,CUST-10031,Canyon Consulting,Procurement,Central,Software,Tech Accessories,SKU-O9900,Medium,Fulfilled,2-Day,2025-10-17,2025-10-19,1,10.88,15.78,0.05,14.99,Sawyer Garcia
ORD-100096,2025-10-19,CUST-10159,Pioneer Systems,HR,East,Services,Software,SKU-X8019,Medium,Approved,Ground,2025-10-26,,5,9.5,12.83,0.05,60.94,Blake Martinez
ORD-100098,2025-10-29,CUST-10082,Riverbend Enterprises,Sales,East,Office Supplies,Paper & Printing,SKU-H4139,High,Cancelled,Ground,2025-11-01,,3,67.95,88.34,0.15,225.27,Morgan Brown
ORD-100108,2025-10-22,CUST-10018,Vertex Industries,IT,Central,Hardware,Hardware,SKU-S2290,Medium,Approved,Pickup,2025-10-29,,5,25.46,31.83,0.0,159.15,Avery Thomas
ORD-100124,2025-10-24,CUST-10005,Northstar  Associates,HR,W,Office Supplies,Paper & Printing,SKU-X4155,Medium,New,Ground,2025-10-31,,12,19.47,28.23,0.1,304.88,Taylor Smith
ORD-100170,2025-10-08,CUST-10144,Silverline Solutions,Operations,East,Hardware,Breakroom,SKU-V3851,Medium,Approved,Overnight,2025-10-15,,1,12.71,17.79,0.05,16.9,Casey Brown
ORD-100219,2025-10-26,CUST-10059,Vertex Consulting,Operations,East,Hardware,Cleaning,SKU-L4432,Medium,Delayed,Pickup,2025-11-02,2025-10-28,10,33.06,47.94,0.1,431.46,Casey Brown
